2025-02-20 02:32:22 remove linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144 <none>
2025-02-20 02:32:22 status half-configured linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status half-installed linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status config-files linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 remove linux-image-5.15.0-133-generic:amd64 5.15.0-133.144 <none>
2025-02-20 02:32:22 status half-configured linux-image-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status half-installed linux-image-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status config-files linux-image-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 startup packages configure
2025-02-20 02:32:22 startup packages purge
2025-02-20 02:32:22 purge linux-image-5.15.0-133-generic:amd64 5.15.0-133.144 <none>
2025-02-20 02:32:22 status config-files linux-image-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status not-installed linux-image-5.15.0-133-generic:amd64 <none>
2025-02-20 02:32:22 purge linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144 <none>
2025-02-20 02:32:22 status config-files linux-modules-5.15.0-133-generic:amd64 5.15.0-133.144
2025-02-20 02:32:22 status not-installed linux-modules-5.15.0-133-generic:amd64 <none>
2025-02-20 02:32:22 startup packages configure
2025-02-20 02:32:25 startup packages remove
2025-02-20 02:32:25 status installed grub-pc:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status installed grub-gfxpayload-lists:amd64 0.7
2025-02-20 02:32:25 status installed grub2-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status installed grub-pc-bin:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status installed grub-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status installed os-prober:amd64 1.79ubuntu2
2025-02-20 02:32:25 remove os-prober:amd64 1.79ubuntu2 <none>
2025-02-20 02:32:25 status half-configured os-prober:amd64 1.79ubuntu2
2025-02-20 02:32:25 status half-installed os-prober:amd64 1.79ubuntu2
2025-02-20 02:32:25 status config-files os-prober:amd64 1.79ubuntu2
2025-02-20 02:32:25 status not-installed os-prober:amd64 <none>
2025-02-20 02:32:25 remove grub-gfxpayload-lists:amd64 0.7 <none>
2025-02-20 02:32:25 status half-configured grub-gfxpayload-lists:amd64 0.7
2025-02-20 02:32:25 status half-installed grub-gfxpayload-lists:amd64 0.7
2025-02-20 02:32:25 status triggers-pending man-db:amd64 2.10.2-1
2025-02-20 02:32:25 status config-files grub-gfxpayload-lists:amd64 0.7
2025-02-20 02:32:25 status not-installed grub-gfxpayload-lists:amd64 <none>
2025-02-20 02:32:25 remove grub-pc:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status half-configured grub-pc:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status half-installed grub-pc:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status config-files grub-pc:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 remove grub2-common:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status half-configured grub2-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status half-installed grub2-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status triggers-pending install-info:amd64 6.8-4build1
2025-02-20 02:32:25 status config-files grub2-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 remove grub-pc-bin:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status half-configured grub-pc-bin:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status half-installed grub-pc-bin:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status config-files grub-pc-bin:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status not-installed grub-pc-bin:amd64 <none>
2025-02-20 02:32:25 remove grub-common:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status half-configured grub-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status half-installed grub-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status config-files grub-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 startup packages configure
2025-02-20 02:32:25 trigproc install-info:amd64 6.8-4build1 <none>
2025-02-20 02:32:25 status half-configured install-info:amd64 6.8-4build1
2025-02-20 02:32:25 status installed install-info:amd64 6.8-4build1
2025-02-20 02:32:25 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-20 02:32:25 status half-configured man-db:amd64 2.10.2-1
2025-02-20 02:32:25 status installed man-db:amd64 2.10.2-1
2025-02-20 02:32:25 startup packages purge
2025-02-20 02:32:25 purge grub2-common:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status config-files grub2-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:25 status not-installed grub2-common:amd64 <none>
2025-02-20 02:32:25 purge grub-pc:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:25 status config-files grub-pc:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:26 status not-installed grub-pc:amd64 <none>
2025-02-20 02:32:26 purge grub-common:amd64 2.06-2ubuntu7.2 <none>
2025-02-20 02:32:26 status config-files grub-common:amd64 2.06-2ubuntu7.2
2025-02-20 02:32:26 status not-installed grub-common:amd64 <none>
2025-02-20 02:32:26 startup packages configure
2025-02-20 02:32:28 startup packages remove
2025-02-20 02:32:28 status installed libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2025-02-20 02:32:28 remove libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2 <none>
2025-02-20 02:32:28 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.9
2025-02-20 02:32:28 status half-configured libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2025-02-20 02:32:28 status half-installed libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2025-02-20 02:32:28 status config-files libfreetype6:amd64 2.11.1+dfsg-1ubuntu0.2
2025-02-20 02:32:28 status not-installed libfreetype6:amd64 <none>
2025-02-20 02:32:28 startup packages configure
2025-02-20 02:32:28 trigproc libc-bin:amd64 2.35-0ubuntu3.9 <none>
2025-02-20 02:32:28 status half-configured libc-bin:amd64 2.35-0ubuntu3.9
2025-02-20 02:32:28 status installed libc-bin:amd64 2.35-0ubuntu3.9
2025-02-20 02:32:28 startup packages configure
